NO,MODE,DEVICE,ACTUAL,REFER,MEASURE,LIMIT_DOWN,PRESENT_DOWN,LIMIT_UP,PRESENT_UP,FILENAME
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307163545.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307163748.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164015.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307163432.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164523.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307171715.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164434.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164613.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164152.CSV"
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164254.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307171806.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164344.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307171858.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307171957.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307172148.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307172058.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307172238.CSV"
597,R.,R715,039.0 o,39.0 o,46.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307172845.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307173217.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307173414.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307172952.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307173604.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307173746.CSV"
597,R.,R715,039.0 o,39.0 o,42.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307174200.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307173851.CSV"
597,R.,R715,039.0 o,39.0 o,40.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307174255.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307173654.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307164104.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307174833.CSV"
597,R.,R715,039.0 o,39.0 o,40.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307174423.CSV"
597,R.,R715,039.0 o,39.0 o,40.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307173942.CSV"
597,R.,R715,039.0 o,39.0 o,40.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307175127.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307175040.CSV"
597,R.,R715,039.0 o,39.0 o,40.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307175436.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307175212.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307175347.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307175259.CSV"
597,R.,R715,039.0 o,39.0 o,40.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307175624.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307180132.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307180226.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307180414.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307180324.CSV"
